FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
./Weight//CMC.BRAIN.RNASEQ_SPLICING/CMC.chr1:934993:935072:clu_38965.wgt.RDat	HES4	1	9.34e+05	9.36e+05	0.0659	NA	   NA	NA	       NA	    NA	       NA	182	  0	lasso	 0.031286	 1.08e-04	      NA	     NA
./Weight//CMC.BRAIN.RNASEQ_SPLICING/CMC.chr1:935167:935246:clu_38965.wgt.RDat	HES4	1	9.34e+05	9.36e+05	0.0601	NA	   NA	NA	       NA	    NA	       NA	182	  0	blup	 0.016934	 3.51e-03	      NA	     NA
./Weight//CMC.BRAIN.RNASEQ_SPLICING/CMC.chr1:1164326:1167272:clu_38987.wgt.RDat	SDF4	1	1.15e+06	1.17e+06	0.1514	NA	   NA	NA	       NA	    NA	       NA	229	  0	bslmm	 0.130224	 2.72e-15	      NA	     NA
./Weight//CMC.BRAIN.RNASEQ_SPLICING/CMC.chr1:1255304:1255836:clu_39013.wgt.RDat	CPSF3L	1	1.25e+06	1.26e+06	0.0740	NA	   NA	NA	       NA	    NA	       NA	250	  0	lasso	 0.057100	 2.15e-07	      NA	     NA
./Weight//CMC.BRAIN.RNASEQ_SPLICING/CMC.chr1:1256473:1257288:clu_39012.wgt.RDat	CPSF3L	1	1.25e+06	1.26e+06	0.0500	NA	   NA	NA	       NA	    NA	       NA	250	  0	enet	 0.026489	 3.42e-04	      NA	     NA
./Weight//CMC.BRAIN.RNASEQ_SPLICING/CMC.chr1:1608285:1623888:clu_39061.wgt.RDat	SLC35E2B	1	1.59e+06	1.68e+06	0.0980	rs13306651	-2.99	rs4648764	 6.00e-02	  6.21	-0.776965	313	 11	lasso	 0.083180	 3.72e-10	-1.23010	0.21866
./Weight//CMC.BRAIN.RNASEQ_SPLICING/CMC.chr1:1622832:1623888:clu_39061.wgt.RDat	SLC35E2B	1	1.59e+06	1.68e+06	0.2898	rs13306651	-2.94	rs4648764	 1.21e-01	 -8.00	-0.837070	302	  6	lasso	 0.211360	 9.05e-25	 1.90581	0.05667
./Weight//CMC.BRAIN.RNASEQ_SPLICING/CMC.chr1:1571843:1635263:clu_39057.wgt.RDat	CDK11A	1	1.63e+06	1.66e+06	0.5386	rs3128317	-2.97	rs2281173	 4.19e-01	 13.68	-1.327657	321	  5	lasso	 0.447130	 6.08e-59	-1.23136	0.21819
./Weight//CMC.BRAIN.RNASEQ_SPLICING/CMC.chr1:1635063:1635263:clu_39057.wgt.RDat	CDK11A	1	1.63e+06	1.66e+06	0.0624	rs13306651	-3.06	rs4648764	-1.89e-03	  3.29	-0.845043	299	299	bslmm	 0.033272	 6.67e-05	-0.41741	0.67638
./Weight//CMC.BRAIN.RNASEQ_SPLICING/CMC.chr1:1663962:1666129:clu_39061.wgt.RDat	SLC35E2	1	1.66e+06	1.68e+06	0.1796	rs13306651	-2.83	rs12044597	 1.70e-01	 -9.12	-1.134226	290	 30	enet	 0.195614	 7.34e-23	 1.33951	0.18040
