FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
./Weight//CMC.BRAIN.RNASEQ/CMC.LOC643837.wgt.RDat	LOC643837	1	7.63e+05	7.95e+05	0.0979	NA	   NA	NA	       NA	    NA	       NA	159	  0	lasso	0.084282	 1.89e-10	       NA	      NA
./Weight//CMC.BRAIN.RNASEQ/CMC.AGRN.wgt.RDat	AGRN	1	9.56e+05	9.91e+05	0.0655	NA	   NA	NA	       NA	    NA	       NA	200	  0	lasso	0.062644	 4.15e-08	       NA	      NA
./Weight//CMC.BRAIN.RNASEQ/CMC.C1orf159.wgt.RDat	C1orf159	1	1.02e+06	1.05e+06	0.0917	NA	   NA	NA	       NA	    NA	       NA	212	  0	enet	0.070706	 5.63e-09	       NA	      NA
./Weight//CMC.BRAIN.RNASEQ/CMC.SCNN1D.wgt.RDat	SCNN1D	1	1.22e+06	1.23e+06	0.1704	NA	   NA	NA	       NA	    NA	       NA	248	  0	bslmm	0.114216	 9.28e-14	       NA	      NA
./Weight//CMC.BRAIN.RNASEQ/CMC.MXRA8.wgt.RDat	MXRA8	1	1.29e+06	1.30e+06	0.0503	NA	   NA	NA	       NA	    NA	       NA	258	  0	lasso	0.035945	 2.95e-05	       NA	      NA
./Weight//CMC.BRAIN.RNASEQ/CMC.LOC148413.wgt.RDat	LOC148413	1	1.33e+06	1.34e+06	0.0648	rs13306651	-3.08	rs2649588	 7.10e-03	 -4.88	 0.106788	270	 13	enet	0.058540	 1.14e-07	-1.637304	1.02e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.ATAD3C.wgt.RDat	ATAD3C	1	1.39e+06	1.41e+06	0.2901	rs13306651	-3.04	rs1695824	 1.85e-01	 -9.35	 0.853707	287	287	bslmm	0.209430	 5.36e-25	-0.032731	9.74e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.ATAD3B.wgt.RDat	ATAD3B	1	1.41e+06	1.43e+06	0.1912	NA	   NA	NA	       NA	    NA	       NA	286	  0	lasso	0.139828	 1.14e-16	       NA	      NA
./Weight//CMC.BRAIN.RNASEQ/CMC.ATAD3A.wgt.RDat	ATAD3A	1	1.45e+06	1.47e+06	0.0669	rs13306651	-3.04	rs6690515	 2.43e-02	 -4.11	 1.113295	285	285	bslmm	0.022847	 7.40e-04	-1.323234	1.86e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.SSU72.wgt.RDat	SSU72	1	1.48e+06	1.51e+06	0.2516	rs13306651	-3.02	rs3766180	 3.26e-01	-12.27	 0.042573	288	  2	lasso	0.320627	 6.71e-40	-0.081583	9.35e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.SLC35E2B.wgt.RDat	SLC35E2B	1	1.59e+06	1.68e+06	0.1575	rs13306651	-2.87	rs4648611	 8.94e-03	  4.21	 0.114667	326	326	bslmm	0.032393	 7.04e-05	 0.570999	5.68e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.SLC35E2.wgt.RDat	SLC35E2	1	1.66e+06	1.68e+06	0.3512	NA	   NA	NA	       NA	    NA	       NA	298	  0	enet	0.174282	 1.04e-20	       NA	      NA
./Weight//CMC.BRAIN.RNASEQ/CMC.KIAA1751.wgt.RDat	KIAA1751	1	1.88e+06	1.94e+06	0.1453	rs2643893	-2.33	rs13303201	 1.07e-01	 -7.08	-0.729227	360	  5	lasso	0.127336	 3.07e-15	 1.147366	2.51e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.MORN1.wgt.RDat	MORN1	1	2.25e+06	2.32e+06	0.0716	rs903901	-2.54	rs7545940	 8.31e-05	 -3.95	 0.338495	375	 26	enet	0.015953	 4.13e-03	 0.340702	7.33e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.LOC100129534.wgt.RDat	LOC100129534	1	2.28e+06	2.28e+06	0.1066	rs903901	-2.60	rs3795272	 5.99e-02	 -6.07	 0.363647	352	  6	enet	0.074388	 2.25e-09	 0.311573	7.55e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.RER1.wgt.RDat	RER1	1	2.32e+06	2.34e+06	0.0571	rs903901	-2.56	rs2840532	-2.22e-03	 -3.53	-0.150072	359	359	blup	0.013272	 8.13e-03	 0.568632	5.70e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.TNFRSF14.wgt.RDat	TNFRSF14	1	2.49e+06	2.50e+06	0.0516	rs903901	-2.48	rs12410859	 1.13e-03	  3.03	 0.107262	372	372	blup	0.020111	 1.46e-03	 0.411668	6.81e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.TPRG1L.wgt.RDat	TPRG1L	1	3.54e+06	3.55e+06	0.2925	rs34283457	 2.68	rs4648537	 7.61e-02	  6.64	 0.000237	458	458	bslmm	0.192976	 5.74e-23	-0.591278	5.54e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.TP73-AS1.wgt.RDat	TP73-AS1	1	3.65e+06	3.66e+06	0.1421	rs34283457	 2.66	rs2298222	 5.23e-02	  5.92	-0.063978	460	  4	lasso	0.062424	 4.38e-08	-1.010041	3.12e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.LRRC47.wgt.RDat	LRRC47	1	3.70e+06	3.71e+06	0.0742	rs34283457	 2.32	rs10915437	-1.86e-03	 -3.56	 0.320837	476	476	blup	0.009236	 2.30e-02	-0.254492	7.99e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.CEP104.wgt.RDat	CEP104	1	3.73e+06	3.77e+06	0.1201	rs34283457	 2.23	rs10752721	 1.36e-01	 -7.92	 0.877366	484	  2	lasso	0.130996	 1.18e-15	-0.896772	3.70e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.NPHP4.wgt.RDat	NPHP4	1	5.92e+06	6.05e+06	0.1337	rs846103	-2.81	rs7535806	 1.55e-01	 -8.63	-0.256622	553	 19	enet	0.161266	 3.65e-19	 0.270331	7.87e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.ICMT.wgt.RDat	ICMT	1	6.28e+06	6.30e+06	0.1773	rs12070308	 2.79	rs12070839	 1.26e-01	 -7.58	 2.140734	449	  3	lasso	0.116254	 5.48e-14	-2.196556	2.81e-02
./Weight//CMC.BRAIN.RNASEQ/CMC.TNFRSF25.wgt.RDat	TNFRSF25	1	6.52e+06	6.53e+06	0.0900	rs12070308	 2.71	rs4908554	 3.16e-02	  4.68	 2.119329	416	 22	enet	0.058825	 1.07e-07	 0.962883	3.36e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.PLEKHG5.wgt.RDat	PLEKHG5	1	6.53e+06	6.58e+06	0.0872	rs12070308	 2.72	rs4908554	 5.53e-02	  5.68	 2.119329	444	 28	enet	0.054533	 3.07e-07	 2.412520	1.58e-02
./Weight//CMC.BRAIN.RNASEQ/CMC.DNAJC11.wgt.RDat	DNAJC11	1	6.69e+06	6.76e+06	0.0345	rs12070308	 2.71	rs35070405	 3.03e-02	  4.49	 1.519515	458	  5	lasso	0.035687	 3.14e-05	 1.548637	1.21e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.CAMTA1.wgt.RDat	CAMTA1	1	6.85e+06	7.83e+06	0.0963	rs7516068	-2.14	rs3011936	 6.90e-02	 -5.70	-0.199567	899	  3	lasso	0.065840	 1.88e-08	 0.158754	8.74e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.PARK7.wgt.RDat	PARK7	1	8.02e+06	8.05e+06	0.0533	rs17380831	-2.38	rs3766606	 2.71e-03	 -3.81	-1.326871	423	423	bslmm	0.011888	 1.16e-02	 0.137298	8.91e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.SLC45A1.wgt.RDat	SLC45A1	1	8.38e+06	8.40e+06	0.0395	rs17031614	-2.14	rs10399665	 5.18e-02	  5.22	 0.599102	328	  9	enet	0.019270	 1.80e-03	 0.595898	5.51e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.H6PD.wgt.RDat	H6PD	1	9.29e+06	9.33e+06	0.2152	rs9660866	 2.14	rs2268175	 1.82e-01	 -9.32	-0.385527	438	  3	lasso	0.180406	 1.92e-21	 0.321198	7.48e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.PIK3CD.wgt.RDat	PIK3CD	1	9.71e+06	9.79e+06	0.2270	rs6691645	-2.44	rs4333853	 1.87e-01	  9.36	 0.360093	348	  7	enet	0.181733	 1.33e-21	 0.910709	3.62e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.CTNNBIP1.wgt.RDat	CTNNBIP1	1	9.91e+06	9.97e+06	0.1060	rs17034655	 4.28	rs1220395	 5.44e-02	  5.46	 0.107262	331	  2	lasso	0.039401	 1.26e-05	 0.155029	8.77e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.NMNAT1.wgt.RDat	NMNAT1	1	1.00e+07	1.00e+07	0.0499	rs17034655	 4.28	rs7517812	 1.17e-02	 -4.12	-0.599576	314	314	blup	0.021760	 9.68e-04	 0.000403	1.00e+00
./Weight//CMC.BRAIN.RNASEQ/CMC.RBP7.wgt.RDat	RBP7	1	1.01e+07	1.01e+07	0.0483	rs17034655	 4.28	rs6683452	 2.38e-03	 -3.77	 1.134700	314	314	bslmm	0.017311	 2.94e-03	-0.256239	7.98e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.CASZ1.wgt.RDat	CASZ1	1	1.07e+07	1.09e+07	0.1277	rs17034655	 4.28	rs17035549	 3.11e-02	  4.95	 0.749468	445	 25	enet	0.069998	 6.71e-09	 0.696544	4.86e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.EXOSC10.wgt.RDat	EXOSC10	1	1.11e+07	1.12e+07	0.0621	rs2817594	-2.58	rs1057079	 7.78e-02	  6.41	-0.513956	373	  2	lasso	0.069949	 6.79e-09	-0.480919	6.31e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.MTOR.wgt.RDat	MTOR	1	1.12e+07	1.13e+07	0.1279	rs2817594	-2.65	rs12124983	 1.46e-01	  8.22	-0.256622	434	  4	lasso	0.151170	 5.56e-18	-0.339775	7.34e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.PTCHD2.wgt.RDat	PTCHD2	1	1.15e+07	1.16e+07	0.1612	rs2817594	-2.47	rs4846010	 9.97e-02	  6.88	 0.663791	443	443	bslmm	0.099300	 4.24e-12	 0.880266	3.79e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.FBXO6.wgt.RDat	FBXO6	1	1.17e+07	1.17e+07	0.1512	rs2817594	-2.48	rs3117066	 4.56e-02	 -5.25	-1.447465	462	462	bslmm	0.045056	 3.15e-06	 1.661334	9.66e-02
./Weight//CMC.BRAIN.RNASEQ/CMC.AGTRAP.wgt.RDat	AGTRAP	1	1.18e+07	1.18e+07	0.0739	rs2817594	-2.73	rs6660106	 5.28e-02	  5.39	-0.150072	489	  9	enet	0.069594	 7.42e-09	-0.197899	8.43e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.MTHFR.wgt.RDat	MTHFR	1	1.18e+07	1.19e+07	0.0777	rs2817594	-2.71	rs1476413	 7.91e-02	  6.13	-0.470672	485	  3	lasso	0.068545	 9.62e-09	-0.541468	5.88e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.CLCN6.wgt.RDat	CLCN6	1	1.19e+07	1.19e+07	0.1440	rs2817594	-2.67	rs2184226	 4.61e-02	 -4.72	-0.413519	483	 36	enet	0.075174	 1.85e-09	 1.050090	2.94e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.MIIP.wgt.RDat	MIIP	1	1.21e+07	1.21e+07	0.0808	rs2817594	-2.75	rs1208988	 8.01e-02	 -6.57	 1.155631	440	  3	lasso	0.070710	 5.62e-09	-1.025300	3.05e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.LRRC38.wgt.RDat	LRRC38	1	1.38e+07	1.38e+07	0.0533	rs610136	-2.14	rs3795750	 3.06e-02	 -4.84	 0.043047	372	  3	lasso	0.046831	 2.04e-06	 0.255488	7.98e-01
./Weight//CMC.BRAIN.RNASEQ/CMC.PDPN.wgt.RDat	PDPN	1	1.39e+07	1.39e+07	0.1813	rs610136	-2.14	rs434651	 5.92e-02	 -6.37	 1.690755	448	  8	lasso	0.102738	 1.77e-12	-2.213278	2.69e-02
./Weight//CMC.BRAIN.RNASEQ/CMC.FHAD1.wgt.RDat	FHAD1	1	1.56e+07	1.57e+07	0.1268	rs6682312	-4.28	rs12033237	 4.10e-02	 -5.61	-0.577697	606	 22	enet	0.110270	 2.56e-13	 0.360132	7.19e-01
