FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
./Weight//YFS.BLOOD.RNAARR/YFS.HES4.wgt.RDat	HES4	1	9.34e+05	9.36e+05	0.20260	rs17160824	 2.14	rs7553429	 0.056904	  8.58	-0.561129	 97	 34	enet	 1.11e-01	 2.20e-34	 0.94380	0.34527
./Weight//YFS.BLOOD.RNAARR/YFS.ISG15.wgt.RDat	ISG15	1	9.49e+05	9.50e+05	0.02463	rs17160824	 2.14	rs6689813	-0.000790	 -2.95	-0.294239	 98	 38	enet	 1.27e-02	 3.43e-05	 0.77143	0.44045
./Weight//YFS.BLOOD.RNAARR/YFS.SDF4.wgt.RDat	SDF4	1	1.15e+06	1.17e+06	0.02671	rs17160824	 2.14	rs11466691	 0.008556	 -4.79	 0.643843	122	122	bslmm	 1.51e-02	 6.99e-06	-1.36760	0.17144
./Weight//YFS.BLOOD.RNAARR/YFS.SCNN1D.wgt.RDat	SCNN1D	1	1.22e+06	1.23e+06	0.03590	rs17160824	 2.14	rs2291889	 0.019603	 -5.68	 1.584204	137	  3	lasso	 1.53e-02	 6.05e-06	-1.82183	0.06848
./Weight//YFS.BLOOD.RNAARR/YFS.PUSL1.wgt.RDat	PUSL1	1	1.24e+06	1.25e+06	0.02166	rs4970420	 2.14	rs3934834	-0.000475	 -3.44	 0.928657	139	139	blup	 7.98e-03	 8.64e-04	-1.03491	0.30071
./Weight//YFS.BLOOD.RNAARR/YFS.MRPL20.wgt.RDat	MRPL20	1	1.34e+06	1.34e+06	0.02248	rs17160824	 2.14	rs2649588	 0.016226	  4.86	 0.106788	165	 12	enet	 1.89e-02	 5.71e-07	 1.15654	0.24746
./Weight//YFS.BLOOD.RNAARR/YFS.SSU72.wgt.RDat	SSU72	1	1.48e+06	1.51e+06	0.15193	rs17160824	 2.14	rs7519837	 0.182560	 15.40	 0.342717	197	  7	lasso	 2.02e-01	 6.84e-64	 0.41539	0.67786
./Weight//YFS.BLOOD.RNAARR/YFS.NADK.wgt.RDat	NADK	1	1.68e+06	1.71e+06	0.03307	rs4648726	-1.80	rs7528894	 0.000574	 -3.58	-0.676309	223	 46	enet	 5.90e-03	 3.64e-03	 0.31405	0.75348
./Weight//YFS.BLOOD.RNAARR/YFS.RER1.wgt.RDat	RER1	1	2.32e+06	2.34e+06	0.01402	rs903901	-2.55	rs425277	-0.000760	  2.98	 0.192882	316	316	bslmm	 3.74e-03	 1.68e-02	 0.37826	0.70524
./Weight//YFS.BLOOD.RNAARR/YFS.PLCH2.wgt.RDat	PLCH2	1	2.36e+06	2.44e+06	0.50056	rs903901	-2.52	rs4648843	 0.069566	  9.55	 0.290056	337	 79	enet	 2.37e-01	 3.48e-76	-0.43617	0.66271
./Weight//YFS.BLOOD.RNAARR/YFS.MMEL1.wgt.RDat	MMEL1	1	2.52e+06	2.56e+06	0.04286	rs903901	-2.54	rs4648356	 0.052399	 -8.35	 0.535361	363	  4	lasso	 5.36e-02	 4.63e-17	-0.54853	0.58333
./Weight//YFS.BLOOD.RNAARR/YFS.TPRG1L.wgt.RDat	TPRG1L	1	3.54e+06	3.55e+06	0.09320	rs4431782	-2.37	rs4364818	 0.034099	 -6.66	 0.685196	412	412	bslmm	 5.45e-02	 2.64e-17	-0.30075	0.76360
