FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
./Weight//NTR.BLOOD.RNAARR/NTR.ISG15.wgt.RDat	ISG15	1	9.49e+05	9.50e+05	0.01897	NA	   NA	NA	       NA	    NA	     NA	 62	  0	bslmm	0.010828	 1.39e-04	      NA	     NA
./Weight//NTR.BLOOD.RNAARR/NTR.B3GALT6.wgt.RDat	B3GALT6	1	1.17e+06	1.17e+06	0.01404	rs17160824	 2.14	rs2765023	 5.78e-03	 -3.67	 0.9207	 89	 89	bslmm	0.003731	 1.76e-02	-0.64834	0.51676
./Weight//NTR.BLOOD.RNAARR/NTR.SSU72.wgt.RDat	SSU72	1	1.48e+06	1.51e+06	0.07222	rs17160824	 2.14	rs7519837	 7.57e-02	 10.22	 0.3427	165	  9	lasso	0.079166	 2.75e-24	 0.40628	0.68454
./Weight//NTR.BLOOD.RNAARR/NTR.CDK11A.wgt.RDat	CDK11A	1	1.64e+06	1.65e+06	0.00792	rs876029	-2.14	rs2296716	-6.27e-04	 -3.34	 0.2357	198	  6	lasso	0.000916	 1.44e-01	-0.48450	0.62803
./Weight//NTR.BLOOD.RNAARR/NTR.TPRG1L.wgt.RDat	TPRG1L	1	3.54e+06	3.55e+06	0.05919	NA	   NA	NA	       NA	    NA	     NA	364	  0	lasso	0.036919	 4.96e-12	      NA	     NA
./Weight//NTR.BLOOD.RNAARR/NTR.LRRC47.wgt.RDat	LRRC47	1	3.70e+06	3.71e+06	0.05591	rs7530189	 2.15	rs2799182	 4.38e-02	 -7.59	-0.5354	397	 12	enet	0.062823	 1.71e-19	-0.18929	0.84986
./Weight//NTR.BLOOD.RNAARR/NTR.KIAA0562.wgt.RDat	KIAA0562	1	3.73e+06	3.77e+06	0.08280	rs7530189	 2.14	rs4648344	 6.40e-02	 -9.52	-0.9849	402	402	blup	0.072082	 3.36e-22	 0.98756	0.32337
./Weight//NTR.BLOOD.RNAARR/NTR.C1orf174.wgt.RDat	C1orf174	1	3.81e+06	3.82e+06	0.03801	rs7530189	 2.14	rs7544191	 3.39e-02	  6.64	 2.0118	380	  6	lasso	0.032947	 6.75e-11	 2.09636	0.03605
./Weight//NTR.BLOOD.RNAARR/NTR.KCNAB2.wgt.RDat	KCNAB2	1	6.05e+06	6.16e+06	0.02408	rs12070308	 2.72	rs481762	 1.45e-02	  4.75	-0.5568	540	  8	enet	0.007857	 1.02e-03	-0.59955	0.54880
./Weight//NTR.BLOOD.RNAARR/NTR.VAMP3.wgt.RDat	VAMP3	1	7.83e+06	7.84e+06	0.02876	rs17030886	-2.14	rs10864316	 2.30e-02	  5.63	 0.3571	465	  2	lasso	0.020570	 2.25e-07	 0.38344	0.70140
